,Actual value,Predicted value
1070,15.4,6.517155035580904
5524,0.0,2.2842192317630863
55,0.0,2.2842192317630863
2881,0.0,2.2842192317630863
646,0.0,2.2842192317630863
3558,4.4,5.641375214101355
1324,0.0,2.2842192317630863
3789,0.0,2.2842192317630863
6294,11.2,2.2842192317630863
3643,0.0,2.2842192317630863
3584,0.0,2.2842192317630863
1476,0.0,2.2842192317630863
1890,0.0,2.2842192317630863
1924,0.0,2.2842192317630863
3310,0.0,2.2842192317630863
3144,0.0,2.2842192317630863
7195,0.0,2.2842192317630863
1612,0.0,2.2842192317630863
1233,22.0,13.450411955627331
4913,0.0,2.2842192317630863
2853,0.0,2.2842192317630863
2046,0.0,2.2842192317630863
2165,0.0,2.2842192317630863
6853,14.0,8.998531196439625
4684,0.0,2.2842192317630863
4077,21.0,2.2842192317630863
1850,0.0,2.2842192317630863
1663,0.0,2.2842192317630863
2620,0.0,2.2842192317630863
6281,21.6,2.2842192317630863
1187,5.1,19.799815661354057
3204,1.8,2.2842192317630863
2228,0.0,2.2842192317630863
1159,0.0,2.2842192317630863
3971,0.0,2.2842192317630863
5942,1.8,2.2842192317630863
6202,0.0,2.2842192317630863
4060,0.0,2.2842192317630863
5054,0.0,2.2842192317630863
1039,0.0,2.2842192317630863
1395,0.0,2.2842192317630863
2855,0.0,2.2842192317630863
6964,0.0,2.2842192317630863
1248,0.0,2.2842192317630863
4847,3.4,2.2842192317630863
4993,0.0,2.2842192317630863
6255,6.1,2.2842192317630863
2996,0.0,2.2842192317630863
143,0.0,2.2842192317630863
6396,0.0,2.2842192317630863
6557,0.0,2.2842192317630863
5090,0.0,2.2842192317630863
582,0.0,2.2842192317630863
2596,0.0,2.2842192317630863
2601,0.0,2.2842192317630863
5376,0.0,2.2842192317630863
1564,0.0,2.2842192317630863
2489,0.0,2.2842192317630863
6079,0.0,2.2842192317630863
4197,0.0,2.2842192317630863
1630,0.0,2.2842192317630863
4426,0.0,2.2842192317630863
4310,0.0,2.2842192317630863
2161,0.0,2.2842192317630863
1891,0.0,2.2842192317630863
2260,0.0,2.2842192317630863
1256,0.0,2.2842192317630863
1861,0.0,2.2842192317630863
6827,6.3,2.2842192317630863
2030,4.4,4.108760526512146
7231,0.0,2.2842192317630863
7142,0.0,2.2842192317630863
4740,0.0,2.2842192317630863
5371,0.0,2.2842192317630863
843,0.0,2.2842192317630863
5887,27.7,2.2842192317630863
1524,0.0,2.2842192317630863
5804,1.8,2.2842192317630863
5791,0.0,2.2842192317630863
6200,0.0,2.2842192317630863
4680,0.0,2.2842192317630863
1876,0.0,2.2842192317630863
1829,0.0,2.2842192317630863
5569,0.0,2.2842192317630863
801,0.0,2.2842192317630863
2995,0.0,2.2842192317630863
6304,0.0,2.2842192317630863
2153,0.0,2.2842192317630863
2497,0.0,2.2842192317630863
4815,0.0,2.2842192317630863
5751,0.0,2.2842192317630863
2422,0.0,2.2842192317630863
429,7.8,18.99701749166447
5385,0.0,2.2842192317630863
5876,0.0,2.2842192317630863
2175,0.0,2.2842192317630863
378,0.0,2.2842192317630863
3113,0.0,2.2842192317630863
6005,0.0,2.2842192317630863
6628,37.6,11.187980750138497
3808,0.0,2.2842192317630863
